SET
    dbms    | table_catalog | table_schema |                 table_name                 |       column_name        | ordinal_position |        data_type         | character_maximum_length | constraint_type | table_schema |            table_name            | column_name 
 postgresql | boottracker   | public       | programs_coordinatoremailconfig            | name                     |                3 | character varying        |                      200 |                 |              |                                  | 
 postgresql | boottracker   | public       | token_blacklist_outstandingtoken           | expires_at               |                5 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_lead                                 | source                   |                6 | character varying        |                       20 |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_lead                                 | email                    |                4 | character varying        |                      254 |                 |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser                  | is_active                |               10 | boolean                  |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | ocr_account_last_digits  |                5 | character varying        |                       10 |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_interaction                          | notes                    |                5 | text                     |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | token_blacklist_outstandingtoken           | created_at               |                4 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_lead                                 | phone                    |                3 | character varying        |                       20 |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | submitted_at             |               15 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_interaction                          | interest_level           |                4 | integer                  |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | programs_program                           | end_date                 |                4 | date                     |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_interaction                          | next_action              |               11 | text                     |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser                  | password                 |                1 | character varying        |                      128 |                 |              |                                  | 
 postgresql | boottracker   | public       | django_session                             | expire_date              |                3 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | django_migrations                          | applied                  |                4 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_interaction                          | campaign                 |                6 | character varying        |                      100 |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | ocr_confidence           |               21 | jsonb                    |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | django_admin_log                           | object_repr              |                4 | character varying        |                      200 |                 |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser                  | first_name               |                6 | character varying        |                      150 |                 |              |                                  | 
 postgresql | boottracker   | public       | authentication_customuser                  | last_login               |                2 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_lead                                 | name                     |                2 | character varying        |                      200 |                 |              |                                  | 
 postgresql | boottracker   | public       | django_admin_log                           | object_id                |                3 | text                     |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | token_blacklist_blacklistedtoken           | blacklisted_at           |                2 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | ocr_amount               |                6 | numeric                  |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_interaction                          | duration_minutes         |               10 | integer                  |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | receipt_file_type        |                3 | character varying        |                       10 |                 |              |                                  | 
 postgresql | boottracker   | public       | auth_permission                            | name                     |                2 | character varying        |                      255 |                 |              |                                  | 
 postgresql | boottracker   | public       | leads_lead                                 | last_contact             |               15 | timestamp with time zone |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | programs_coordinatoremailconfig            | is_active                |                5 | boolean                  |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | token_blacklist_outstandingtoken           | token                    |                3 | text                     |                          |                 |              |                                  | 
 postgresql | boottracker   | public       | payments_payment                           | confirmed_amount         |                9 | numeric                  |                          |                 |              |                                  | 
(128 rows)

